rank,movie,year,genre,rating,num_reviews
1,Skazani na Shawshank,1994,Dramat,"8,76",905 915 
2,Nietykalni,2011,Biograficzny/Dramat/Komedia,"8,61",664 243 
3,Zielona mila,1999,Dramat,"8,60",987 055 
4,Ojciec chrzestny,1972,Dramat/Gangsterski,"8,59",535 528 
5,Dwunastu gniewnych ludzi,1957,Dramat sądowy,"8,56",220 650 
6,Forrest Gump,1994,Dramat/Komedia,"8,52",978 694 
7,Lot nad kukułczym gniazdem,1975,Dramat/Psychologiczny,"8,44",395 051 
8,Ojciec chrzestny II,1974,Dramat/Gangsterski,"8,38",276 998 
9,Władca Pierścieni: Powrót króla,2003,Fantasy/Przygodowy,"8,34",517 360 
10,Lista Schindlera,1993,Dramat/Wojenny,"8,33",362 792 
11,Pulp Fiction,1994,Gangsterski,"8,32",657 747 
12,Życie jest piękne,1997,Dramat/Komedia/Wojenny,"8,29",280 551 
13,Siedem,1995,Kryminał/Thriller,"8,27",603 442 
14,Władca Pierścieni: Dwie wieże,2002,Fantasy/Przygodowy,"8,26",498 246 
15,Podziemny krąg,1999,Thriller/Psychologiczny,"8,25",610 014 
16,Chłopcy z ferajny,1990,Dramat/Gangsterski,"8,24",305 515 
17,Joker,2019,Dramat/Kryminał/Psychologiczny,"8,24",294 252 
18,Pianista,2002,Biograficzny/Dramat/Wojenny,"8,23",593 299 
19,Piękny umysł,2001,Biograficzny/Dramat,"8,22",497 374 
20,Incepcja,2010,Surrealistyczny/Thriller/Sci-Fi,"8,22",605 740 
21,Django,2012,Western,"8,21",483 793 
22,Milczenie owiec,1991,Thriller,"8,21",671 673 
23,Król Lew,1994,Animacja/Familijny,"8,21",565 962 
24,Człowiek z blizną,1983,Dramat/Gangsterski,"8,17",260 298 
25,Gran Torino,2008,Dramat,"8,17",430 254 
26,Wyspa tajemnic,2010,Dramat/Thriller,"8,15",571 322 
27,Coco,2017,Animacja/Familijny/Przygodowy,"8,15",153 007 
28,Więzień nienawiści,1998,Dramat,"8,12",301 501 
29,Leon zawodowiec,1994,Dramat/Kryminał,"8,12",830 036 
30,Green Book,2018,Dramat/Komedia,"8,11",211 519 
31,Gladiator,2000,Dramat historyczny,"8,09",759 353 
32,Szeregowiec Ryan,1998,Dramat/Wojenny,"8,07",643 574 
33,Braveheart - Waleczne Serce,1995,Dramat historyczny,"8,07",396 807 
34,Chłopiec w pasiastej piżamie,2008,Dramat/Wojenny,"8,07",399 465 
35,Whiplash,2014,Dramat/Muzyczny,"8,06",292 882 
36,Buntownik z wyboru,1997,Dramat obyczajowy,"8,06",278 466 
37,Przełęcz ocalonych,2016,Biograficzny/Dramat/Wojenny,"8,05",224 936 
38,Czas Apokalipsy,1979,Dramat/Wojenny,"8,04",181 107 
39,Zapach kobiety,1992,Dramat,"8,04",356 239 
40,Prestiż,2006,Dramat/Thriller,"8,03",389 808 
41,Avengers: Wojna bez granic,2018,Akcja/Sci-Fi,"8,03",192 289 
42,Gwiezdne wojny: Część V - Imperium kontratakuje,1980,Przygodowy/Sci-Fi,"8,03",298 460 
43,"Dobry, zły i brzydki",1966,Western,"8,02",103 297 
44,Dawno temu w Ameryce,1984,Dramat/Gangsterski,"8,02",109 624 
45,Gwiezdne wojny: Część VI - Powrót Jedi,1983,Przygodowy/Sci-Fi,"8,01",290 651 
46,Służące,2011,Dramat,"8,00",274 214 
47,Kasyno,1995,Dramat/Gangsterski,"8,00",159 117 
48,W pogoni za szczęściem,2006,Biograficzny/Dramat obyczajowy,"7,99",265 148 
49,Parasite,2019,Dramat,"7,98",160 753 
50,Mroczny Rycerz,2008,Akcja/Sci-Fi,"7,98",509 174 
51,Amadeusz,1984,Biograficzny/Muzyczny,"7,98",120 469 
52,Gorączka,1995,Sensacyjny,"7,98",158 856 
53,Władca Pierścieni: Drużyna Pierścienia,2001,Fantasy/Przygodowy,"7,98",716 627 
54,Pluton,1986,Dramat/Wojenny,"7,98",128 785 
55,Pamiętnik,2004,Melodramat,"7,97",367 242 
56,Bękarty wojny,2009,Wojenny,"7,97",575 873 
57,Infiltracja,2006,Kryminał,"7,96",337 390 
58,Spirited Away: W krainie Bogów,2001,Fantasy/Przygodowy/Anime,"7,95",136 939 
59,Bogowie,2014,Biograficzny/Dramat,"7,95",344 162 
60,Łowca jeleni,1978,Dramat/Wojenny,"7,93",127 304 
61,Psychoza,1960,Thriller,"7,93",141 555 
62,Mój przyjaciel Hachiko,2009,Dramat,"7,93",181 804 
63,Avengers: Koniec gry,2019,Akcja/Sci-Fi,"7,93",157 463 
64,Przebudzenia,1990,Dramat obyczajowy,"7,92",117 835 
65,Siedem dusz,2008,Dramat,"7,92",480 230 
66,Miasto Boga,2002,Dramat/Thriller,"7,90",169 906 
